=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.16 13:10:09 =~=~=~=~=~=~=~=~=~=~=~=
17461,0.99,2.50,0
1210,1.00,2.48,508.31,400.61
1212,1.01,2.51,488.76,400.32
1214,1.00,2.48,488.76,400.61
1216,1.00,2.55,469.21,395.30
1218,1.00,2.51,439.88,398.46
1220,0.99,2.47,478.98,399.82
1222,0.99,2.47,449.66,399.82
1224,1.00,2.46,478.98,402.79
1226,1.00,2.47,498.53,401.70
1228,0.99,2.47,449.66,399.82
1230,1.00,2.43,547.41,405.01
1232,1.00,2.47,537.63,401.70
1234,1.00,2.48,508.31,400.61
1236,1.00,2.47,508.31,401.70
1238,1.00,2.46,518.08,402.79
1240,1.00,2.47,557.18,401.70
1242,1.00,2.50,488.76,399.53
1244,1.00,2.55,498.53,395.30
1246,0.99,2.47,547.41,399.82
1248,0.99,2.48,488.76,398.73
1250,0.99,2.47,478.98,399.82
1252,0.99,2.47,469.21,399.82
1254,1.00,2.47,488.76,401.70
1256,0.99,2.43,518.08,403.12
1258,1.00,2.48,488.76,400.61
1260,0.98,2.47,498.53,397.93
1262,0.97,2.48,508.31,394.95
1264,0.99,2.46,645.16,400.91
1266,0.99,2.48,645.16,398.73
1268,0.99,2.47,654.94,399.82
1270,1.00,2.47,518.08,401.70
1272,0.99,2.51,527.86,396.60
1274,0.99,2.44,537.63,402.01
1276,0.99,2.46,488.76,400.91
1278,0.99,2.44,488.76,402.01
1280,0.98,2.47,478.98,397.93
1282,1.00,2.44,508.31,403.90
1284,0.98,2.48,488.76,396.85
1286,0.99,2.47,488.76,399.82
1288,1.00,2.50,488.76,399.53
1290,1.00,2.48,488.76,400.61
1292,1.00,2.50,469.21,399.53
1294,0.99,2.47,498.53,399.82
1296,1.00,2.48,508.31,400.61
1298,0.99,2.47,557.18,399.82
1300,0.99,2.46,488.76,400.91
1302,0.97,2.50,498.53,393.89
1304,0.96,2.48,537.63,393.05
1306,0.98,2.39,508.31,404.58
1308,1.01,2.47,459.43,405.43
1310,0.99,2.47,469.21,399.82
1312,0.99,2.42,478.98,404.23
1314,0.99,2.48,488.76,398.73
1316,1.00,2.46,527.86,402.79
1318,1.01,2.46,557.18,404.67
1320,0.98,2.51,478.98,394.72
1322,1.00,2.50,478.98,399.53
1324,0.99,2.40,469.21,405.36
1326,1.00,2.46,478.98,402.79
1328,1.00,2.48,478.98,400.61
1330,0.99,2.48,469.21,398.73
1332,0.98,2.51,459.43,394.72
1334,0.98,2.50,469.21,395.78
1336,0.99,2.48,478.98,398.73
1338,0.99,2.40,488.76,405.36
1340,0.98,2.43,498.53,401.21
1342,0.99,2.42,478.98,404.23
1344,1.00,2.50,469.21,399.53
1346,1.01,2.46,488.76,404.67
1348,0.99,2.54,469.21,394.49
1350,1.00,2.47,469.21,401.70
1352,1.00,2.47,469.21,401.70
1354,1.00,2.56,459.43,394.27
1356,1.00,2.43,478.98,405.01
1358,0.98,2.48,488.76,396.85
1360,1.01,2.52,478.98,399.25
1362,0.98,2.44,478.98,400.11
1364,0.98,2.48,449.66,396.85
1366,0.98,2.46,449.66,399.01
1368,0.99,2.48,459.43,398.73
1370,0.99,2.42,469.21,404.23
1372,0.99,2.52,449.66,395.54
1374,0.98,2.52,439.88,393.67
1376,0.97,2.46,469.21,397.11
1378,1.01,2.47,537.63,403.57
1380,1.01,2.46,459.43,404.67
1382,0.99,2.50,430.11,397.66
1384,0.99,2.44,459.43,402.01
1386,0.99,2.46,449.66,400.91
1388,1.01,2.44,459.43,405.78
1390,1.00,2.54,439.88,396.35
1392,1.00,2.50,439.88,399.53
1394,1.00,2.48,449.66,400.61
1396,1.00,2.47,488.76,401.70
1398,1.00,2.52,449.66,397.40
1400,0.99,2.40,459.43,405.36
1402,0.98,2.47,449.66,397.93
1404,0.99,2.50,557.18,397.66
1406,0.98,2.46,508.31,399.01
1408,0.99,2.47,478.98,399.82
1410,0.99,2.51,508.31,396.60
1412,0.99,2.52,430.11,395.54
1414,0.99,2.47,449.66,399.82
1416,0.99,2.59,459.43,390.38
1418,0.97,2.47,439.88,396.03
1420,0.99,2.51,459.43,396.60
1422,0.99,2.48,527.86,398.73
1424,1.00,2.48,449.66,400.61
1426,1.00,2.51,459.43,398.46
1428,1.00,2.48,469.21,400.61
1430,1.00,2.50,449.66,399.53
1432,0.99,2.47,420.33,399.82
1434,0.99,2.42,439.88,404.23
1436,0.99,2.48,449.66,398.73
1438,1.00,2.48,498.53,400.61
1440,1.00,2.47,449.66,401.70
1442,1.01,2.46,459.43,404.67
1444,0.99,2.48,449.66,398.73
1446,1.00,2.50,449.66,399.53
1448,1.00,2.47,537.63,401.70
1450,0.99,2.47,449.66,399.82
1452,0.99,2.60,449.66,389.38
1454,1.00,2.47,420.33,401.70
1456,0.99,2.42,449.66,404.23
1458,1.00,2.47,478.98,401.70
1460,0.99,2.47,547.41,399.82
