=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.01.13 10:56:26 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,,,,,,,,
Adafruit DS3502 Test,,,,,,,,,,,,,
Couldn't find DS3502 chip,,,,,,,,,,,,,
Found DS3502 chip,,,,,,,,,,,,,
time, Feed (mm/min), Wind (m/min), diameter (um), predicted diameter (um),,,,,,,,,
642,1,2.52,361.68,397.4,,,,,,,,,
644,1.01,2.55,332.36,398.98,,,,,,,,,
646,1,2.51,381.23,398.46,,,,,,,,,
648,0.99,2.43,391.01,403.12,,,,,,,,,
650,0.99,2.51,351.91,396.6,,,,,,,,,
652,1,2.52,342.13,397.4,,,,,,,,,
654,0.99,2.51,361.68,396.6,,,,,,,,,
656,0.99,2.43,351.91,403.12,,,,,,,,,
658,0.98,2.51,361.68,394.72,,,,,,,,,
660,0.99,2.48,361.68,398.73,,,,,,,,,
662,0.99,2.48,381.23,398.73,,,,,,,,,
664,1,2.51,361.68,398.46,,,,,,,,,
666,1.01,2.55,371.46,397.15,,,,,,,,,
668,1,2.51,361.68,398.46,,,,,,,,,
670,1,2.51,351.91,398.46,,,,,,,,,
672,1.01,2.55,381.23,397.15,,,,,,,,,
674,0.99,2.5,381.23,397.66,,,,,,,,,
676,0.99,2.51,342.13,396.6,,,,,,,,,
678,1,2.5,351.91,399.53,,,,,,,,,
680,0.99,2.5,342.13,397.66,,,,,,,,,
682,1,2.51,332.36,398.46,,,,,,,,,
684,0.99,2.48,312.81,398.73,,,,,,,,,
686,0.98,2.5,332.36,395.78,,,,,,,,,
688,1.01,2.5,361.68,401.39,,,,,,,,,
690,1.01,2.47,381.23,403.57,,,,,,,,,
692,0.99,2.58,410.56,391.4,,,,,,,,,
694,1,2.58,400.78,393.24,,,,,,,,,
696,1,2.5,391.01,399.53,,,,,,,,,
698,0.99,2.44,420.33,402.01,,,,,,,,,
700,0.99,2.5,391.01,397.66,,,,,,,,,
702,0.98,2.48,381.23,396.85,,,,,,,,,
704,1,2.48,371.46,400.61,,,,,,,,,
706,1,2.51,400.78,398.46,,,,,,,,,
708,1,2.47,400.78,401.7,,,,,,,,,
710,1.01,2.52,391.01,399.25,,,,,,,,,
712,1,2.51,400.78,398.46,,,,,,,,,
714,1.01,2.5,400.78,401.39,,,,,,,,,
716,1,2.52,391.01,397.4,,,,,,,,,
718,0.99,2.46,400.78,400.91,,,,,,,,,
720,0.99,2.56,400.78,392.42,,,,,,,,,
722,1.01,2.55,361.68,397.15,,,,,,,,,
724,1,2.5,391.01,399.53,,,,,,,,,
726,0.99,2.51,381.23,396.6,,,,,,,,,
728,1,2.5,371.46,399.53,,,,,,,,,
730,0.99,2.48,410.56,398.73,,,,,,,,,
732,0.99,2.47,391.01,399.82,,,,,,,,,
734,0.99,2.51,381.23,396.6,,,,,,,,,
736,0.99,2.51,371.46,396.6,,,,,,,,,
738,0.99,2.56,371.46,392.42,,,,,,,,,
740,0.98,2.51,381.23,394.72,,,,,,,,,
742,0.99,2.51,381.23,396.6,,,,,,,,,
744,1.01,2.52,371.46,399.25,,,,,,,,,
746,1,2.5,361.68,399.53,,,,,,,,,
748,1,2.58,361.68,393.24,,,,,,,,,
750,0.99,2.5,351.91,397.66,,,,,,,,,
752,0.99,2.47,351.91,399.82,,,,,,,,,
754,0.99,2.5,361.68,397.66,,,,,,,,,
756,0.99,2.51,351.91,396.6,,,,,,,,,
758,0.99,2.52,351.91,395.54,,,,,,,,,
760,0.99,2.51,342.13,396.6,,,,,,,,,
762,0.99,2.47,371.46,399.82,,,,,,,,,
764,0.99,2.51,361.68,396.6,,,,,,,,,
766,0.99,2.5,361.68,397.66,,,,,,,,,
768,0.99,2.47,342.13,399.82,,,,,,,,,
770,1,2.55,342.13,395.3,,,,,,,,,
772,0.99,2.51,381.23,396.6,,,,,,,,,
774,0.99,2.51,332.36,396.6,,,,,,,,,
776,0.98,2.47,361.68,397.93,,,,,,,,,
778,1.01,2.59,381.23,394.05,,,,,,,,,
780,0.98,2.47,371.46,397.93,,,,,,,,,
782,0.99,2.52,381.23,395.54,,,,,,,,,
784,0.99,2.51,371.46,396.6,,,,,,,,,
786,0.99,2.43,351.91,403.12,,,,,,,,,
788,0.98,2.5,351.91,395.78,,,,,,,,,
790,0.99,2.5,332.36,397.66,,,,,,,,,
792,1,2.51,332.36,398.46,,,,,,,,,
794,1.01,2.5,342.13,401.39,,,,,,,,,
796,0.99,2.5,381.23,397.66,,,,,,,,,
798,1,2.55,351.91,395.3,,,,,,,,,
800,1,2.48,361.68,400.61,,,,,,,,,
802,0.99,2.51,351.91,396.6,,,,,,,,,
804,0.98,2.46,361.68,399.01,,,,,,,,,
806,0.99,2.55,312.81,393.45,,,,,,,,,
808,0.99,2.51,342.13,396.6,,,,,,,,,
810,0.99,2.47,342.13,399.82,,,,,,,,,
812,0.99,2.44,332.36,402.01,,,,,,,,,
814,0.99,2.47,342.13,399.82,,,,,,,,,
816,0.99,2.48,342.13,398.73,,,,,,,,,
818,1,2.52,342.13,397.4,,,,,,,,,
820,0.99,2.43,351.91,403.12,,,,,,,,,
822,1,2.54,361.68,396.35,,,,,,,,,
824,0.99,2.5,391.01,397.66,,,,,,,,,
826,1,2.52,381.23,397.4,,,,,,,,,
828,0.99,2.48,361.68,398.73,,,,,,,,,
830,1,2.5,351.91,399.53,,,,,,,,,
832,0.99,2.52,322.58,395.54,,,,,,,,,
834,0.99,2.48,361.68,398.73,,,,,,,,,
836,0.96,2.48,391.01,393.05,,,,,,,,,
838,0.99,2.51,410.56,396.6,,,,,,,,,
840,1,2.51,400.78,398.46,,,,,,,,,
842,1,2.56,381.23,394.27,,,,,,,,,
844,0.99,2.5,371.46,397.66,,,,,,,,,
846,1.01,2.6,371.46,393.03,,,,,,,,,
848,0.99,2.47,381.23,399.82,,,,,,,,,
850,1,2.56,371.46,394.27,,,,,,,,,
852,0.99,2.43,361.68,403.12,,,,,,,,,
854,0.99,2.54,342.13,394.49,,,,,,,,,
856,0.99,2.51,381.23,396.6,,,,,,,,,
858,0.99,2.51,371.46,396.6,,,,,,,,,
860,1.01,2.51,351.91,400.32,,,,,,,,,
862,1,2.5,361.68,399.53,,,,,,,,,
864,0.99,2.52,371.46,395.54,,,,,,,,,
866,0.98,2.5,420.33,395.78,,,,,,,,,
868,1,2.5,391.01,399.53,,,,,,,,,
870,1,2.59,381.23,392.22,,,,,,,,,
872,1,2.54,371.46,396.35,,,,,,,,,
874,0.99,2.5,371.46,397.66,,,,,,,,,
876,1,2.55,381.23,395.3,,,,,,,,,
878,0.98,2.48,391.01,396.85,,,,,,,,,
880,0.99,2.48,371.46,398.73,,,,,,,,,
882,0.99,2.52,342.13,395.54,,,,,,,,,
884,0.99,2.47,371.46,399.82,,,,,,,,,
886,0.98,2.51,351.91,394.72,,,,,,,,,
888,0.99,2.58,351.91,391.4,,,,,,,,,
890,0.98,2.5,351.91,395.78,,,,,,,,,
892,0.99,2.52,342.13,395.54,,,,,,,,,
894,1,2.51,332.36,398.46,,,,,,,,,
896,1.01,2.54,342.13,400.04,,,,,,,,,
898,0.99,2.5,342.13,397.66,,,,,,,,,
900,1,2.5,361.68,399.53,,,,,,,,,
902,1.01,2.51,371.46,400.32,,,,,,,,,
904,0.99,2.56,371.46,392.42,,,,,,,,,
906,0.98,2.46,371.46,399.01,,,,,,,,,
908,1,2.44,351.91,403.9,,,,,,,,,
910,0.99,2.51,371.46,396.6,,,,,,,,,
912,1,2.51,391.01,398.46,,,,,,,,,
914,0.99,2.5,410.56,397.66,,,,,,,,,
916,1,2.47,439.88,401.7,,,,,,,,,
918,0.99,2.51,488.76,396.6,,,,,,,,,
920,1,2.54,498.53,396.35,,,,,,,,,
922,1,2.52,488.76,397.4,,,,,,,,,
924,1,2.47,469.21,401.7,,,,,,,,,
926,0.99,2.5,449.66,397.66,,,,,,,,,
928,0.97,2.48,410.56,394.95,,,,,,,,,
930,1,2.51,381.23,398.46,,,,,,,,,
932,0.99,2.5,391.01,397.66,,,,,,,,,
934,0.99,2.56,351.91,392.42,,,,,,,,,
936,0.98,2.46,351.91,399.01,,,,,,,,,
938,0.99,2.51,342.13,396.6,,,,,,,,,
940,0.98,2.51,322.58,394.72,,,,,,,,,
942,1,2.54,342.13,396.35,,,,,,,,,
944,0.99,2.47,312.81,399.82,,,,,,,,,
946,1,2.52,332.36,397.4,,,,,,,,,
948,1,2.54,303.03,396.35,,,,,,,,,
950,1,2.48,303.03,400.61,,,,,,,,,
952,0.99,2.51,322.58,396.6,,,,,,,,,
954,0.98,2.47,303.03,397.93,,,,,,,,,
956,0.99,2.51,293.26,396.6,,,,,,,,,
958,0.98,2.5,273.7,395.78,,,,,,,,,
960,0.99,2.5,273.7,397.66,,,,,,,,,
962,1,2.48,283.48,400.61,,,,,,,,,
964,0.99,2.54,322.58,394.49,,,,,,,,,
966,1.01,2.55,332.36,397.15,,,,,,,,,
968,0.99,2.5,351.91,397.66,,,,,,,,,
970,0.99,2.5,283.48,397.66,,,,,,,,,
972,1,2.51,263.93,398.46,,,,,,,,,
974,0.98,2.48,263.93,396.85,,,,,,,,,
976,0.98,2.51,303.03,394.72,,,,,,,,,
978,0.98,2.5,244.38,395.78,,,,,,,,,
980,1.01,2.51,263.93,400.32,,,,,,,,,
982,0.99,2.48,254.15,398.73,,,,,,,,,
984,1.01,2.5,244.38,401.39,,,,,,,,,
986,0.99,2.48,263.93,398.73,,,,,,,,,
988,0.99,2.52,263.93,395.54,,,,,,,,,
990,1,2.51,244.38,398.46,,,,,,,,,
992,1,2.51,234.6,398.46,,,,,,,,,
994,0.98,2.48,283.48,396.85,,,,,,,,,
996,0.99,2.5,283.48,397.66,,,,,,,,,
998,1,2.51,263.93,398.46,,,,,,,,,
1000,0.99,2.5,273.7,397.66,,,,,,,,,
1002,0.99,2.5,273.7,397.66,,,,,,,,,
1004,0.99,2.5,254.15,397.66,,,,,,,,,
1006,1.01,2.54,263.93,398.2,,,,,,,,,
1008,1,2.51,254.15,398.46,,,,,,,,,
1010,1.01,2.51,254.15,402.17,,,,,,,,,
1012,0.99,2.51,244.38,396.6,,,,,,,,,
1014,0.99,2.42,244.38,404.23,,,,,,,,,
1016,0.99,2.5,244.38,397.66,,,,,,,,,
1018,0.99,2.51,254.15,396.6,,,,,,,,,
1020,0.99,2.5,263.93,397.66,,,,,,,,,
1022,0.97,2.5,254.15,393.89,,,,,,,,,
1024,0.98,2.51,263.93,394.72,,,,,,,,,
1026,1,2.56,263.93,394.27,,,,,,,,,
1028,1,2.51,254.15,398.46,,,,,,,,,
